OBJECTID,tide,behavior,dive_time_obs,tidal_height,latitude,longitude,meters_offshore,location,general_tide,RASTERVALU,RASTERVALU
1,high_ebb,diving,30,3.3,44.4176839273111,-68.2480530589301,20,hulls_cove,high,-2.12,
2,high_ebb,diving,31,3.3,44.4176839273111,-68.2480530589301,20,hulls_cove,high,-2.12,
3,high_ebb,diving,58,3.3,44.4167643429339,-68.2476453631486,300,hulls_cove,high,-3.08,
4,high_ebb,diving,56,3.3,44.4167643429339,-68.2476453631486,300,hulls_cove,high,-3.08,
5,high_ebb,diving,17,3.3,44.4167643429339,-68.2476453631486,300,hulls_cove,high,-3.08,
6,high_ebb,diving,45,3.3,44.4167643429339,-68.2476453631486,300,hulls_cove,high,-3.08,
7,high_ebb,diving,18.5,3.3,44.4180364308213,-68.2477526515122,20,hulls_cove,high,-1.51,
8,high_ebb,diving,8,3.3,44.4180364308213,-68.2477526515122,20,hulls_cove,high,-1.51,
9,high_slack,diving,57,3.41,44.4011743736183,-68.2291629079056,10,the_hotel_motel_holiday_inn,high,-0.65,
10,high_slack,diving,57,3.41,44.4011743736183,-68.2291629079056,10,the_hotel_motel_holiday_inn,high,-0.65,
11,high_slack,diving,46,3.41,44.4011743736183,-68.2291629079056,15,the_hotel_motel_holiday_inn,high,-0.65,
12,high_slack,diving,38,3.41,44.4011743736183,-68.2291629079056,15,the_hotel_motel_holiday_inn,high,-0.65,
13,mid_ebb,diving,30,0.98,44.3961359858902,-68.2203364897482,2,coa_pier,mid,,-1.59
14,mid_ebb,diving,34,0.98,44.3961359858902,-68.2203364897482,2,coa_pier,mid,,-1.59
15,high_flood,diving,31.05,2.85,44.415391221713,-68.2482052612325,60,hulls_cove,high,-2.14,
16,high_flood,diving,42.01,2.85,44.415391221713,-68.2482052612325,60,hulls_cove,high,-2.14,
17,high_flood,diving,46.31,2.85,44.415391221713,-68.2482052612325,60,hulls_cove,high,-2.14,
18,high_flood,diving,30,3.2,44.3920375584598,-68.2019208038976,NA,bar_harbor_pier,high,,-7.57
19,high_flood,diving,39,3.2,44.3920375584598,-68.2019208038976,NA,bar_harbor_pier,high,,-7.57
20,high_flood,diving,36,3.2,44.392742872506,-68.1997535789475,10,bar_harbor_pier,high,,-11.57
21,high_flood,diving,38,3.2,44.392742872506,-68.1997535789475,10,bar_harbor_pier,high,,-11.57
22,high_flood,diving,36,3.2,44.3962693152332,-68.1937025152255,15,bar_harbor_pier,high,,-20.51
23,high_flood,diving,35,3.2,44.3962693152332,-68.1937025152255,15,bar_harbor_pier,high,,-20.51
24,high_flood,diving,41,3.2,44.3965299569139,-68.1934021078066,10,bar_harbor_pier,high,,-19.41
25,high_flood,diving,35,3.2,44.3965299569139,-68.1934021078066,10,bar_harbor_pier,high,,-19.41
26,high_slack,diving,44,3.3,44.4175404996589,-68.2482862801036,10,hulls_cove,high,-2.06,
27,high_slack,diving,31,3.3,44.4175404996589,-68.2482862801036,10,hulls_cove,high,-2.06,
28,high_slack,diving,22,3.3,44.4175404996589,-68.2482862801036,10,hulls_cove,high,-2.06,
29,high_slack,diving,44,3.3,44.4175404996589,-68.2482862801036,10,hulls_cove,high,-2.06,
30,high_slack,diving,45,3.3,44.4175404996589,-68.2482862801036,10,hulls_cove,high,-2.06,
31,high_slack,diving,51,3.3,44.4171975208912,-68.2471158237592,20,hulls_cove,high,-3.78,
32,high_slack,diving,38,3.3,44.4171975208912,-68.2471158237592,20,hulls_cove,high,-3.78,
33,high_slack,diving,32,3.3,44.4171975208912,-68.2471158237592,20,hulls_cove,high,-3.78,
34,high_slack,diving,41,3.3,44.4171975208912,-68.2471158237592,20,hulls_cove,high,-3.78,
35,high_slack,diving,35,3.3,44.4171975208912,-68.2471158237592,20,hulls_cove,high,-3.78,
36,high_slack,diving,47,3.3,44.4146322617106,-68.2479061319459,30,hulls_cove,high,-2.22,
37,high_slack,diving,60,3.3,44.4146322617106,-68.2479061319459,30,hulls_cove,high,-2.22,
38,high_slack,diving,13,3.3,44.4146322617106,-68.2479061319459,30,hulls_cove,high,-2.22,
39,high_slack,diving,13,3.3,44.4146322617106,-68.2479061319459,30,hulls_cove,high,-2.22,
40,high_slack,diving,13,3.3,44.4146322617106,-68.2479061319459,30,hulls_cove,high,-2.22,
41,high_slack,diving,50,3.3,44.4144393268061,-68.2468057029041,40,hulls_cove,high,-3.2,
42,high_slack,diving,51,3.3,44.4144393268061,-68.2468057029041,40,hulls_cove,high,-3.2,
43,high_slack,diving,52,3.3,44.4144393268061,-68.2468057029041,40,hulls_cove,high,-3.2,
44,high_slack,diving,51,3.3,44.4144393268061,-68.2468057029041,40,hulls_cove,high,-3.2,
45,high_slack,diving,27,3.3,44.4176619708824,-68.2455652193811,20,hulls_cove,high,-4.74,
46,high_slack,diving,37,3.3,44.4176619708824,-68.2455652193811,20,hulls_cove,high,-4.74,
47,high_slack,diving,49,3.3,44.4176619708824,-68.2455652193811,20,hulls_cove,high,-4.74,
48,high_slack,diving,48,3.3,44.4176619708824,-68.2455652193811,20,hulls_cove,high,-4.74,
49,high_slack,diving,38,3.3,44.4177262790212,-68.2464555664155,10,hulls_cove,high,-3.85,
50,high_slack,diving,37,3.3,44.4177262790212,-68.2464555664155,10,hulls_cove,high,-3.85,
51,high_slack,diving,20,3.3,44.4177262790212,-68.2464555664155,10,hulls_cove,high,-3.85,
52,high_ebb,diving,36,2.4,44.4017943946331,-68.2290267622007,60,sonogee,high,-1.78,
53,high_ebb,diving,64,2.4,44.4017943946331,-68.2290267622007,60,sonogee,high,-1.78,
54,high_ebb,diving,57,2.4,44.4017943946331,-68.2290267622007,60,sonogee,high,-1.78,
55,high_ebb,diving,29,2.4,44.4017943946331,-68.2290267622007,60,sonogee,high,-1.78,
56,high_ebb,diving,64,2.4,44.4017943946331,-68.2290267622007,60,sonogee,high,-1.78,
57,low_flood,diving,22,2.75,44.3961348437052,-68.2202129000893,5,coa_pier,low,,-1.49
58,low_flood,diving,36,2.75,44.3961348437052,-68.2202129000893,5,coa_pier,low,,-1.49
59,low_flood,diving,37,2.75,44.3961348437052,-68.2202129000893,5,coa_pier,low,,-1.49
60,low_flood,diving,27,2.75,44.3961348437052,-68.2202129000893,5,coa_pier,low,,-1.49
61,low_flood,diving,26,2.75,44.3961348437052,-68.2202129000893,5,coa_pier,low,,-1.49
62,low_flood,diving,30,2.75,44.3961348437052,-68.2202129000893,5,coa_pier,low,,-1.49
63,high_ebb,diving,45,3.2,44.3963344451475,-68.220320189713,20,coa_pier,high,,-1.44
64,high_ebb,diving,55,3.2,44.3963344451475,-68.220320189713,20,coa_pier,high,,-1.44
65,high_ebb,diving,45,3.2,44.3963344451475,-68.220320189713,20,coa_pier,high,,-1.44
66,high_ebb,diving,53,3.24,44.3961657132381,-68.2201425432117,15,coa_pier,high,,-1.65
67,high_ebb,diving,56,3.24,44.3961657132381,-68.2201425432117,15,coa_pier,high,,-1.65
68,high_ebb,diving,62,3.24,44.3961657132381,-68.2201425432117,15,coa_pier,high,,-1.65
69,high_ebb,diving,31,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
70,high_ebb,diving,49,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
71,high_ebb,diving,48,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
72,high_ebb,diving,42,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
73,high_ebb,diving,57,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
74,high_ebb,diving,50,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
75,high_ebb,diving,49,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
76,high_ebb,diving,40,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
77,high_ebb,diving,50,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
78,high_ebb,diving,45,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
79,high_ebb,diving,24,3.24,44.3959000413207,-68.2195631986858,15,coa_pier,high,,-2.78
80,mid_ebb,diving,24,1.23,44.3961793648511,-68.2203351435111,10,coa_pier,mid,,-1.49
81,mid_ebb,diving,33,1.23,44.3961793648511,-68.2203351435111,10,coa_pier,mid,,-1.49
82,mid_ebb,diving,12,1.23,44.395744084718,-68.2195816103393,10,coa_pier,mid,,-2.19
83,mid_ebb,diving,9,1.23,44.395744084718,-68.2195816103393,10,coa_pier,mid,,-2.19
84,mid_ebb,diving,19,1.23,44.395744084718,-68.2195816103393,10,coa_pier,mid,,-2.19
85,mid_ebb,diving,41,1.23,44.395744084718,-68.2195816103393,10,coa_pier,mid,,-2.19
86,high_ebb,diving,46,3.71,44.3998826484912,-68.2257144570225,30,sonogee,high,,-5.51
87,high_ebb,diving,42,3.71,44.4022238845891,-68.2297183084656,20,sonogee,high,-3.63,
88,high_ebb,diving,48,3.71,44.4022238845891,-68.2297183084656,20,sonogee,high,-3.63,
89,high_ebb,diving,40,3.71,44.4022238845891,-68.2297183084656,20,sonogee,high,-3.63,
90,high_ebb,diving,47,3.71,44.4022238845891,-68.2297183084656,20,sonogee,high,-3.63,
91,high_ebb,diving,48,3.71,44.4022238845891,-68.2297183084656,20,sonogee,high,-3.63,
92,high_ebb,diving,51,3.71,44.4022238845891,-68.2297183084656,20,sonogee,high,-3.63,
93,high_ebb,diving,40,3.21,44.3921923659265,-68.2130539276856,30,coa_pier,high,,-1.88
94,high_ebb,diving,41,3.21,44.3921923659265,-68.2130539276856,30,coa_pier,high,,-1.88
95,high_ebb,diving,31,3.21,44.3925495721947,-68.2145119483786,30,coa_pier,high,,-2.36
96,high_ebb,diving,24,3.21,44.3925495721947,-68.2145119483786,30,coa_pier,high,,-2.36
97,high_ebb,diving,39,3.21,44.3925495721947,-68.2145119483786,30,coa_pier,high,,-2.36
98,high_ebb,diving,30,3.21,44.3930159215294,-68.2118597398875,30,coa_pier,high,,-2.33
99,high_ebb,diving,31,3.21,44.3930159215294,-68.2118597398875,30,coa_pier,high,,-2.33
100,high_ebb,diving,32,3.21,44.3930159215294,-68.2118597398875,30,coa_pier,high,,-2.33
101,high_ebb,diving,35,3.21,44.3930159215294,-68.2118597398875,30,coa_pier,high,,-2.33
102,high_ebb,diving,34,3.21,44.3930159215294,-68.2118597398875,30,coa_pier,high,,-2.33
103,low_flood,diving,29,0.34,44.3965524746655,-68.2205832895491,10,coa_pier,low,,-2.67
104,low_flood,diving,47,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low,,-2.52
105,low_flood,diving,34,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low,,-2.52
