OBJECTID,tide,behavior,dive_time_obs,tidal_height,latitude,longitude,general_tide,RASTERVALU,RASTERVALU
1,high_flood,diving,31.05,8.7,44.415391221713,-68.2482052612325,high,,-2.14
2,high_flood,diving,42.01,8.7,44.415391221713,-68.2482052612325,high,,-2.14
3,high_flood,diving,46.31,8.7,44.415391221713,-68.2482052612325,high,,-2.14
4,high_flood,diving,30,3.2,44.3920375584598,-68.2019208038976,high,-7.57,
5,high_flood,diving,39,3.2,44.3920375584598,-68.2019208038976,high,-7.57,
6,high_flood,diving,36,3.2,44.392742872506,-68.1997535789475,high,-11.57,
7,high_flood,diving,38,3.2,44.392742872506,-68.1997535789475,high,-11.57,
8,high_flood,diving,36,3.2,44.3962693152332,-68.1937025152255,high,-20.51,
9,high_flood,diving,35,3.2,44.3962693152332,-68.1937025152255,high,-20.51,
10,high_flood,diving,41,3.2,44.3965299569139,-68.1934021078066,high,-19.41,
11,high_flood,diving,35,3.2,44.3965299569139,-68.1934021078066,high,-19.41,
12,high_slack,diving,44,3.3,44.4175404996589,-68.2482862801036,high,,-2.06
13,high_slack,diving,31,3.3,44.4175404996589,-68.2482862801036,high,,-2.06
14,high_slack,diving,22,3.3,44.4175404996589,-68.2482862801036,high,,-2.06
15,high_slack,diving,44,3.3,44.4175404996589,-68.2482862801036,high,,-2.06
16,high_slack,diving,45,3.3,44.4175404996589,-68.2482862801036,high,,-2.06
17,high_slack,diving,51,3.3,44.4171975208912,-68.2471158237592,high,,-3.78
18,high_slack,diving,38,3.3,44.4171975208912,-68.2471158237592,high,,-3.78
19,high_slack,diving,32,3.3,44.4171975208912,-68.2471158237592,high,,-3.78
20,high_slack,diving,41,3.3,44.4171975208912,-68.2471158237592,high,,-3.78
21,high_slack,diving,35,3.3,44.4171975208912,-68.2471158237592,high,,-3.78
22,high_slack,diving,47,3.3,44.4146322617106,-68.2479061319459,high,,-2.22
23,high_slack,diving,60,3.3,44.4146322617106,-68.2479061319459,high,,-2.22
24,high_slack,diving,13,3.3,44.4146322617106,-68.2479061319459,high,,-2.22
